This list contains all games supported by FinalBurn Neo.

24323 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

+---------------------------------+--------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------+-------------+-----------------------------------------------------------------+--------------------------------+-----------------------------------------------------------------------------------+
| name                            | status | full name                                                                                                                                                              | parent                     | year        | company                                                         | hardware                       | remarks                                                                           |
| md_16bitrhythmld                |        | 16-Bit Rhythm Land (HB)                                                                                                                                                |                            | 2018        | Columbus Circle                                                 | Genesis / Mega Drive           |                                                                                   |
| cprogolf18                      |        | 18 Challenge Pro Golf (DECO Cassette) (Japan)                                                                                                                          | cprogolf                   | 1982        | Data East Corporation                                           | Cassette System                |                                                                                   |
| progolf                         |        | 18 Holes Pro Golf (set 1)                                                                                                                                              |                            | 1981        | Data East Corporation                                           | Miscellaneous                  |                                                                                   |
| progolfa                        | D NW   | 18 Holes Pro Golf (set 2)                                                                                                                                              | progolf                    | 1981        | Data East Corporation                                           | Miscellaneous                  |                                                                                   |
| spec_180                        |        | 180 (48K-128K)                                                                                                                                                         |                            | 1986        | Mastertronic Added Dimension                                    | ZX Spectrum                    |                                                                                   |
| msx_180                         |        | 180 Degrees (Euro)                                                                                                                                                     |                            | 1986        | Mastertronic                                                    | MSX                            |                                                                                   |
| fds_19neunzehn                  |        | 19 - Neunzehn (Hack, English)                                                                                                                                          |                            | 2015        | MrRichard999                                                    | Famicom Disk System            |                                                                                   |
| fds_19neunzehnj                 |        | 19 - Neunzehn (Japan)                                                                                                                                                  | fds_19neunzehn             | 1988        | Soft Pro                                                        | Famicom Disk System            |                                                                                   |
| spec_19bootcamp                 |        | 19 Part 1: Boot Camp (48K-128K)                                                                                                                                        |                            | 1988        | Cascade Games                                                   | ZX Spectrum                    |                                                                                   |
| msx_1937en                      |        | 1937 (English) (HB)                                                                                                                                                    |                            | 2022        | joesg                                                           | MSX                            | Redefine keys to use controller                                                   |
| msx_1937es                      |        | 1937 (Spanish) (HB)                                                                                                                                                    | msx_1937en                 | 2022        | joesg                                                           | MSX                            | Redefine keys to use controller                                                   |
| sgx_1941                        |        | 1941 - Counter Attack (Japan) (SGX)                                                                                                                                    |                            | 1991        | Hudson Soft                                                     | SuperGrafx                     |                                                                                   |
